<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNY;D;230103;000000;9.955;10.247;9.955;10.223;1138569
CNY;D;230104;000000;10.223;10.394;10.21;10.387;1036702
CNY;D;230105;000000;10.384;10.49;10.271;10.467;1159912
CNY;D;230106;000000;10.457;10.546;10.409;10.47;784489
CNY;D;230109;000000;10.477;10.559;10.215;10.26;2549762
CNY;D;230110;000000;10.26;10.378;10.194;10.322;1247045
CNY;D;230111;000000;10.331;10.352;10.061;10.09;2647597
CNY;D;230112;000000;10.088;10.107;10.017;10.054;1587288
CNY;D;230113;000000;10.059;10.359;10.027;10.3;2515710
CNY;D;230116;000000;10.3;10.3;10.13;10.214;1727000
CNY;D;230117;000000;10.207;10.281;10.133;10.256;1372893
CNY;D;230118;000000;10.251;10.284;10.181;10.247;997447
CNY;D;230119;000000;10.246;10.246;10.156;10.171;1105875
CNY;D;230120;000000;10.175;10.197;10.141;10.165;867590
CNY;D;230123;000000;10.173;10.248;10.117;10.224;1393397
CNY;D;230124;000000;10.224;10.224;10.159;10.201;1114460
CNY;D;230125;000000;10.204;10.299;10.195;10.282;1100548
CNY;D;230126;000000;10.285;10.364;10.268;10.327;1389503
CNY;D;230127;000000;10.327;10.35;10.295;10.319;1058334
CNY;D;230130;000000;10.324;10.532;10.324;10.523;1447525
CNY;D;230131;000000;10.529;10.535;10.374;10.384;1698772
CNY;D;230201;000000;10.386;10.498;10.386;10.481;1266910
CNY;D;230202;000000;10.48;10.564;10.446;10.511;1130985
CNY;D;230203;000000;10.509;10.593;10.406;10.434;1420331
CNY;D;230206;000000;10.435;10.51;10.412;10.504;1089788
CNY;D;230207;000000;10.504;10.532;10.474;10.504;877163
CNY;D;230208;000000;10.504;10.757;10.504;10.75;1706259
CNY;D;230209;000000;10.755;10.858;10.755;10.837;1390438
CNY;D;230210;000000;10.837;10.848;10.712;10.75;1409055
CNY;D;230213;000000;10.756;10.889;10.753;10.849;1201615
CNY;D;230214;000000;10.853;10.903;10.751;10.847;1640764
CNY;D;230215;000000;10.832;10.966;10.815;10.94;1695161
CNY;D;230216;000000;10.943;10.962;10.895;10.934;1391524
CNY;D;230217;000000;10.931;10.954;10.755;10.795;2995279
CNY;D;230220;000000;10.793;10.96;10.728;10.939;2181955
CNY;D;230221;000000;10.938;10.949;10.815;10.881;2699269
CNY;D;230222;000000;10.879;10.984;10.806;10.962;1824916
CNY;D;230224;000000;10.961;11.046;10.844;10.962;1879359
CNY;D;230227;000000;10.954;10.954;10.694;10.71;2915539
CNY;D;230228;000000;10.706;10.829;10.636;10.795;1852726
CNY;D;230301;000000;10.804;10.959;10.804;10.944;2285430
CNY;D;230302;000000;10.94;10.968;10.846;10.902;1584915
CNY;D;230303;000000;10.908;10.954;10.903;10.948;1194331
CNY;D;230306;000000;10.95;10.996;10.834;10.87;2047876
CNY;D;230307;000000;10.866;10.911;10.839;10.896;1033141
CNY;D;230309;000000;10.901;10.909;10.841;10.871;1391027
CNY;D;230310;000000;10.871;10.99;10.871;10.957;1956075
CNY;D;230313;000000;10.959;11.004;10.87;10.92;2104820
CNY;D;230314;000000;10.922;10.956;10.905;10.953;1288300
CNY;D;230315;000000;11.09;11.155;11.069;11.147;840711
CNY;D;230316;000000;11.147;11.318;11.127;11.219;2473107
CNY;D;230317;000000;11.22;11.366;11.206;11.35;2619929
CNY;D;230320;000000;11.348;11.436;11.247;11.308;1867255
CNY;D;230321;000000;11.314;11.368;11.251;11.26;1278780
CNY;D;230322;000000;11.261;11.336;11.239;11.333;1318249
CNY;D;230323;000000;11.334;11.355;11.172;11.216;1855568
CNY;D;230324;000000;11.216;11.275;11.193;11.248;1507758
CNY;D;230327;000000;11.257;11.286;11.205;11.223;1218919
CNY;D;230328;000000;11.222;11.302;11.191;11.298;1202065
CNY;D;230329;000000;11.293;11.332;11.264;11.314;814066
CNY;D;230330;000000;11.312;11.34;11.265;11.306;1433539
CNY;D;230331;000000;11.306;11.463;11.306;11.391;1527975
CNY;D;230403;000000;11.391;11.571;11.301;11.551;1644448
CNY;D;230404;000000;11.552;11.665;11.528;11.634;1678277
CNY;D;230405;000000;11.632;11.689;11.591;11.683;1171154
CNY;D;230406;000000;11.686;11.936;11.686;11.917;2254613
CNY;D;230407;000000;11.917;12.195;11.781;11.872;5391411
CNY;D;230410;000000;11.875;11.981;11.831;11.919;2564549
CNY;D;230411;000000;11.919;12.053;11.905;12.003;2207041
CNY;D;230412;000000;12.005;12.037;11.904;11.924;1889541
CNY;D;230413;000000;11.929;11.969;11.851;11.928;2567495
CNY;D;230414;000000;11.925;11.965;11.883;11.93;1630350
CNY;D;230417;000000;11.935;11.991;11.814;11.818;2998485
CNY;D;230418;000000;11.818;11.896;11.809;11.867;1394530
CNY;D;230419;000000;11.869;11.918;11.802;11.907;1823929
CNY;D;230420;000000;11.901;11.901;11.827;11.87;1215746
CNY;D;230421;000000;11.86;11.869;11.791;11.833;1126862
CNY;D;230424;000000;11.833;11.836;11.737;11.767;1465156
CNY;D;230425;000000;11.771;11.818;11.753;11.768;1683809
CNY;D;230426;000000;11.773;11.852;11.766;11.829;1202001
CNY;D;230427;000000;11.834;11.867;11.716;11.744;1882486
CNY;D;230428;000000;11.744;11.794;11.447;11.625;4482013
CNY;D;230502;000000;11.621;11.636;11.464;11.528;2174505
CNY;D;230503;000000;11.531;11.571;11.424;11.502;2074528
CNY;D;230504;000000;11.504;11.526;11.246;11.337;2588732
CNY;D;230505;000000;11.337;11.337;11.084;11.198;4027721
CNY;D;230508;000000;11.198;11.33;11.082;11.284;1542125
CNY;D;230510;000000;11.283;11.29;10.945;10.948;3173920
CNY;D;230511;000000;10.949;11.195;10.843;11.146;4298959
CNY;D;230512;000000;11.141;11.238;11.014;11.178;2919993
CNY;D;230515;000000;11.181;11.45;11.181;11.424;2587528
CNY;D;230516;000000;11.428;11.59;11.428;11.566;2414103
CNY;D;230517;000000;11.571;11.589;11.365;11.399;3197660
CNY;D;230518;000000;11.402;11.464;11.296;11.454;3457784
CNY;D;230519;000000;11.45;11.45;11.351;11.39;1989776
CNY;D;230522;000000;11.389;11.414;11.341;11.386;1686035
CNY;D;230523;000000;11.386;11.457;11.304;11.379;1927659
CNY;D;230524;000000;11.374;11.384;11.315;11.357;1356920
CNY;D;230525;000000;11.352;11.355;11.27;11.336;1483349
CNY;D;230526;000000;11.34;11.353;11.3;11.312;1564397
CNY;D;230529;000000;11.314;11.454;11.285;11.442;2468373
CNY;D;230530;000000;11.439;11.482;11.294;11.431;2560876
CNY;D;230531;000000;11.43;11.437;11.341;11.364;1784648
CNY;D;230601;000000;11.368;11.398;11.307;11.359;2313210
CNY;D;230602;000000;11.359;11.515;11.359;11.5;2807286
CNY;D;230605;000000;11.5;11.516;11.357;11.38;2322646
CNY;D;230606;000000;11.377;11.449;11.36;11.427;1434534
CNY;D;230607;000000;11.428;11.507;11.393;11.487;1939381
CNY;D;230608;000000;11.489;11.622;11.466;11.62;2089513
CNY;D;230609;000000;11.62;11.663;11.509;11.561;2384659
CNY;D;230613;000000;11.562;11.759;11.562;11.75;2570141
CNY;D;230614;000000;11.88;11.975;11.802;11.877;1162224
CNY;D;230615;000000;11.884;11.926;11.753;11.854;1893819
CNY;D;230616;000000;11.856;11.942;11.831;11.926;1821764
CNY;D;230619;000000;11.927;11.94;11.816;11.867;1567467
CNY;D;230620;000000;11.865;11.948;11.835;11.935;1840144
CNY;D;230621;000000;11.929;11.929;11.753;11.775;2831270
CNY;D;230622;000000;11.783;11.811;11.716;11.784;1896458
CNY;D;230623;000000;11.776;11.981;11.707;11.97;2871105
CNY;D;230626;000000;11.971;12.022;11.76;11.87;3227462
CNY;D;230627;000000;11.87;11.947;11.843;11.916;2205714
CNY;D;230628;000000;11.916;12.03;11.862;11.996;2607815
CNY;D;230629;000000;12.002;12.193;11.975;12.172;2937725
CNY;D;230630;000000;12.167;12.44;12.133;12.433;5540781
CNY;D;230703;000000;12.429;12.429;12.191;12.238;3708385
CNY;D;230704;000000;12.24;12.542;12.235;12.426;4654984
CNY;D;230705;000000;12.426;12.648;12.383;12.618;4730569
CNY;D;230706;000000;12.619;12.935;12.525;12.641;7772939
CNY;D;230707;000000;12.642;12.738;12.578;12.722;2750957
CNY;D;230710;000000;12.718;12.758;12.49;12.53;2779269
CNY;D;230711;000000;12.544;12.668;12.461;12.527;2710726
CNY;D;230712;000000;12.542;12.795;12.542;12.792;3149494
CNY;D;230713;000000;12.788;12.806;12.584;12.65;3094361
CNY;D;230714;000000;12.658;12.739;12.628;12.698;2438157
CNY;D;230717;000000;12.709;12.801;12.642;12.784;2151923
CNY;D;230718;000000;12.767;12.767;12.683;12.693;1668287
CNY;D;230719;000000;12.691;12.765;12.66;12.734;1614337
CNY;D;230720;000000;12.754;12.788;12.643;12.696;2507454
CNY;D;230721;000000;12.689;12.759;12.606;12.75;2372764
CNY;D;230724;000000;12.734;12.738;12.621;12.646;1798966
CNY;D;230725;000000;12.696;12.753;12.652;12.704;2096999
CNY;D;230726;000000;12.693;12.706;12.647;12.676;1408386
CNY;D;230727;000000;12.682;12.74;12.658;12.727;1669231
CNY;D;230728;000000;12.727;12.95;12.723;12.935;2224115
CNY;D;230731;000000;12.976;13.026;12.825;12.903;2320821
CNY;D;230801;000000;12.9;12.969;12.831;12.953;1936715
CNY;D;230802;000000;12.922;13.204;12.883;13.149;3050554
CNY;D;230803;000000;13.141;13.259;13.043;13.198;3943510
CNY;D;230804;000000;13.235;13.479;13.177;13.405;3062734
CNY;D;230807;000000;13.382;13.572;13.263;13.325;3963358
CNY;D;230808;000000;13.332;13.569;13.297;13.568;3092525
CNY;D;230809;000000;13.525;13.657;13.466;13.476;3095010
CNY;D;230810;000000;13.517;13.631;13.444;13.565;2857884
CNY;D;230811;000000;13.572;13.836;13.54;13.829;3407798
CNY;D;230814;000000;13.821;14.046;13.323;13.333;7347698
CNY;D;230815;000000;13.279;13.679;13.133;13.227;8375235
CNY;D;230816;000000;13.342;13.422;12.958;13.034;5555333
CNY;D;230817;000000;12.961;13.118;12.73;12.914;6431900
CNY;D;230818;000000;12.92;12.954;12.762;12.932;3742969
CNY;D;230821;000000;12.857;13.059;12.816;12.894;4534209
CNY;D;230822;000000;12.927;13.015;12.907;12.994;3230197
CNY;D;230823;000000;13.024;13.119;12.94;13.096;3398903
CNY;D;230824;000000;13.069;13.087;12.993;13.068;2386780
CNY;D;230825;000000;13.069;13.197;13.031;13.161;2889362
CNY;D;230828;000000;13.177;13.214;13.082;13.129;3058920
CNY;D;230829;000000;13.162;13.259;13.132;13.177;3943431
CNY;D;230830;000000;13.192;13.254;13.17;13.252;2117672
CNY;D;230831;000000;13.259;13.285;13.195;13.256;2631684
CNY;D;230901;000000;13.275;13.365;13.246;13.312;3701602
CNY;D;230904;000000;13.317;13.384;13.311;13.38;1930115
CNY;D;230905;000000;13.377;13.452;13.356;13.451;2437814
CNY;D;230906;000000;13.46;13.503;13.361;13.47;3128104
CNY;D;230907;000000;13.458;13.484;13.274;13.44;4103552
CNY;D;230908;000000;13.436;13.436;13.28;13.287;3173883
CNY;D;230911;000000;13.289;13.329;13;13.007;3828887
CNY;D;230912;000000;12.878;13.084;12.845;13.041;4866861
CNY;D;230913;000000;13.042;13.287;13.042;13.271;3365933
CNY;D;230914;000000;13.271;13.368;13.126;13.298;5602094
CNY;D;230915;000000;13.299;13.363;13.177;13.25;5059426
CNY;D;230918;000000;13.255;13.318;13.178;13.186;3468025
CNY;D;230919;000000;13.193;13.261;13.11;13.221;2574257
CNY;D;230920;000000;13.525;13.55;13.439;13.442;2488485
CNY;D;230921;000000;13.444;13.489;13.323;13.4;4537687
CNY;D;230922;000000;13.4;13.584;13.399;13.513;2580625
CNY;D;230925;000000;13.513;13.513;13.418;13.465;1888001
CNY;D;230926;000000;13.47;13.508;13.445;13.486;1315201
CNY;D;230927;000000;13.487;13.571;13.481;13.563;1540217
CNY;D;230928;000000;13.564;13.629;13.508;13.599;2766418
CNY;D;230929;000000;13.6;13.79;13.59;13.786;2545304
CNY;D;231002;000000;13.788;13.909;13.712;13.907;3833707
CNY;D;231003;000000;13.903;13.913;13.794;13.869;3410498
CNY;D;231004;000000;13.865;13.945;13.815;13.899;3285735
CNY;D;231005;000000;13.9;14.068;13.87;14.047;3193243
CNY;D;231006;000000;14.055;14.146;13.905;13.981;4013230
CNY;D;231009;000000;13.981;14.298;13.712;13.785;7402078
CNY;D;231010;000000;13.787;14.07;13.787;14.03;5025820
CNY;D;231011;000000;14.027;14.089;13.5;13.55;4842041
CNY;D;231012;000000;13.551;13.629;13.478;13.565;5979205
CNY;D;231013;000000;13.571;13.642;13.504;13.556;3374450
CNY;D;231016;000000;13.557;13.584;13.485;13.538;2841561
CNY;D;231017;000000;13.531;13.63;13.493;13.603;2143006
CNY;D;231018;000000;13.597;13.599;13.476;13.535;2491596
CNY;D;231019;000000;13.537;13.549;13.413;13.435;2776332
CNY;D;231020;000000;13.434;13.439;13.222;13.242;3142499
CNY;D;231023;000000;13.244;13.304;13.088;13.126;3255711
CNY;D;231024;000000;13.123;13.123;12.945;12.957;2973199
CNY;D;231025;000000;12.957;12.999;12.92;12.955;3127705
CNY;D;231026;000000;12.956;13.09;12.956;13.063;2783820
CNY;D;231027;000000;13.066;13.129;12.86;13.083;7737529
CNY;D;231030;000000;13.075;13.08;12.866;12.886;3995000
CNY;D;231031;000000;12.9;12.998;12.71;12.968;6127410
CNY;D;231101;000000;12.961;13.018;12.838;12.883;5607462
CNY;D;231102;000000;12.903;12.975;12.882;12.95;2463073
CNY;D;231103;000000;12.94;12.995;12.797;12.862;4263204
CNY;D;231106;000000;12.87;12.896;12.812;12.86;1206720
CNY;D;231107;000000;12.875;12.914;12.82;12.903;2309770
CNY;D;231108;000000;12.895;12.895;12.794;12.819;2482136
CNY;D;231109;000000;12.822;12.827;12.758;12.791;1692511
