<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;230103;000000;72720;74832;72268;74796;83305
Eu;D;230104;000000;74677;75442;74082;75401;58521
Eu;D;230105;000000;75391;75775;74529;75282;48062
Eu;D;230106;000000;75202;75305;73778;74898;70339
Eu;D;230109;000000;74863;74898;73501;74148;251224
Eu;D;230110;000000;74160;74411;73558;74018;158978
Eu;D;230111;000000;74142;74295;72413;73075;171324
Eu;D;230112;000000;73075;73075;71796;72759;103447
Eu;D;230113;000000;72804;74179;72462;74073;151306
Eu;D;230116;000000;74120;74360;72945;73460;54538
Eu;D;230117;000000;73483;74723;73359;74106;60935
Eu;D;230118;000000;74106;74443;73800;74076;76831
Eu;D;230119;000000;74076;74499;73776;74165;127620
Eu;D;230120;000000;74156;74490;73861;74421;36551
Eu;D;230123;000000;74447;75205;74225;75081;72558
Eu;D;230124;000000;75051;75237;74584;74951;41605
Eu;D;230125;000000;74980;75562;74834;75451;60718
Eu;D;230126;000000;75500;76034;74964;75384;121292
Eu;D;230127;000000;75355;75710;75278;75558;32578
Eu;D;230130;000000;75589;76928;75450;76921;98322
Eu;D;230131;000000;76927;76927;75757;75940;104697
Eu;D;230201;000000;75978;76848;75978;76718;57934
Eu;D;230202;000000;76760;77486;76621;76949;94552
Eu;D;230203;000000;76884;77196;76470;76597;82628
Eu;D;230206;000000;76621;76701;75957;76527;63889
Eu;D;230207;000000;76528;76542;75790;76180;66576
Eu;D;230208;000000;76220;77738;76220;77643;99520
Eu;D;230209;000000;77658;78599;77658;78301;77203
Eu;D;230210;000000;78250;78250;77550;77796;79207
Eu;D;230213;000000;77774;78667;77705;78465;72872
Eu;D;230214;000000;78499;79016;77745;78499;109783
Eu;D;230215;000000;78448;79233;78231;78840;84165
Eu;D;230216;000000;78840;79987;78840;79517;75029
Eu;D;230217;000000;79464;79654;77736;78221;100742
Eu;D;230220;000000;78281;79500;77736;79411;72602
Eu;D;230221;000000;79436;79586;78450;79148;71169
Eu;D;230222;000000;79217;79848;78757;79482;68698
Eu;D;230224;000000;79500;80458;78473;80051;83056
Eu;D;230227;000000;79984;79984;78004;78190;116421
Eu;D;230228;000000;78180;79295;77553;78784;151230
Eu;D;230301;000000;78794;80070;78665;79951;112541
Eu;D;230302;000000;79954;80283;79303;79756;92747
Eu;D;230303;000000;79798;80300;79536;80251;101267
Eu;D;230306;000000;80282;80743;79776;80383;243635
Eu;D;230307;000000;80405;80623;80122;80304;127266
Eu;D;230309;000000;80256;80299;79709;80174;240364
Eu;D;230310;000000;80179;81149;80179;80814;84928
Eu;D;230313;000000;80880;81285;79786;80315;299816
Eu;D;230314;000000;80357;80926;80044;80826;114220
Eu;D;230315;000000;80749;81139;79529;80134;92587
Eu;D;230316;000000;80144;81400;80011;81150;198318
Eu;D;230317;000000;81159;82126;80853;81924;126450
Eu;D;230320;000000;81969;82690;81750;82269;122892
Eu;D;230321;000000;82325;82589;81833;82056;91760
Eu;D;230322;000000;82071;83200;81956;83104;141168
Eu;D;230323;000000;83178;83336;81555;81860;145943
Eu;D;230324;000000;81939;82542;81502;82438;101041
Eu;D;230327;000000;82402;82405;81887;82120;46975
Eu;D;230328;000000;82134;82999;81953;82927;66214
Eu;D;230329;000000;82893;83437;82668;83240;55053
Eu;D;230330;000000;83223;83900;82942;83730;108236
Eu;D;230331;000000;83720;84385;83455;83640;69233
Eu;D;230403;000000;83626;85451;83100;85355;123136
Eu;D;230404;000000;85365;86834;85365;86801;96946
Eu;D;230405;000000;86745;87165;86421;86940;79288
Eu;D;230406;000000;86919;88918;86881;88809;111275
Eu;D;230407;000000;88809;90484;87584;88143;172499
Eu;D;230410;000000;88170;88917;87401;87965;125344
Eu;D;230411;000000;87973;89488;87973;89210;106411
Eu;D;230412;000000;89210;89725;88799;89018;61364
Eu;D;230413;000000;89087;89400;88643;89333;89258
Eu;D;230414;000000;89279;89344;88506;88740;73700
Eu;D;230417;000000;88789;89468;87337;87500;99059
Eu;D;230418;000000;87523;88522;87419;88403;110719
Eu;D;230419;000000;88393;89017;87758;88901;122755
Eu;D;230420;000000;88842;88931;88123;88830;128133
Eu;D;230421;000000;88860;88860;88000;88579;68404
Eu;D;230424;000000;88512;88633;88026;88324;60109
Eu;D;230425;000000;88381;89324;88300;88551;104372
Eu;D;230426;000000;88580;89571;88477;89571;70989
Eu;D;230427;000000;89544;89800;88135;88508;95788
Eu;D;230428;000000;88468;88754;85988;87456;168321
Eu;D;230502;000000;87381;87633;85942;86611;114120
Eu;D;230503;000000;86657;86957;85643;86545;73912
Eu;D;230504;000000;86546;86747;84357;84899;94247
Eu;D;230505;000000;84890;84890;83345;84488;190671
Eu;D;230508;000000;84526;85918;83755;85384;58141
Eu;D;230510;000000;85250;85250;82728;82867;124431
Eu;D;230511;000000;83000;84715;81813;84447;163112
Eu;D;230512;000000;84419;85041;83590;84216;151498
Eu;D;230515;000000;84346;86417;84346;86127;76282
Eu;D;230516;000000;86163;87361;86163;87350;64996
Eu;D;230517;000000;87388;87527;85531;85617;147767
Eu;D;230518;000000;85718;86491;85306;86424;96731
Eu;D;230519;000000;86252;86400;85333;86100;123699
Eu;D;230522;000000;86080;86621;85798;86391;97885
Eu;D;230523;000000;86426;86931;85642;86347;108057
Eu;D;230524;000000;86280;86506;85710;86110;53066
Eu;D;230525;000000;86144;86144;85330;85947;135328
Eu;D;230526;000000;86032;86032;85477;85769;62628
Eu;D;230529;000000;85837;86800;85579;86727;171623
Eu;D;230530;000000;86730;87188;85674;86726;96742
Eu;D;230531;000000;86793;86824;86178;86474;194152
Eu;D;230601;000000;86510;87038;86276;86920;99603
Eu;D;230602;000000;86882;87837;86820;87540;191748
Eu;D;230605;000000;87546;87767;86500;86808;348678
Eu;D;230606;000000;86844;87377;86734;87290;64314
Eu;D;230607;000000;87261;87949;86696;87759;573886
Eu;D;230608;000000;87799;89399;87758;89305;111148
Eu;D;230609;000000;89301;89608;88837;88983;116826
Eu;D;230613;000000;89095;91427;89095;91290;246865
Eu;D;230614;000000;89972;90450;89339;90322;126065
Eu;D;230615;000000;90200;90356;89121;90193;152348
Eu;D;230616;000000;90200;91462;89762;91120;549057
Eu;D;230619;000000;91200;91442;90614;91040;80863
Eu;D;230620;000000;91070;91985;90935;91770;72736
Eu;D;230621;000000;91711;91774;90383;90762;153256
Eu;D;230622;000000;90782;91412;90206;91050;109419
Eu;D;230623;000000;91006;92621;89868;92600;175712
Eu;D;230626;000000;92690;92955;91008;92000;147028
Eu;D;230627;000000;91953;92880;91617;92573;96385
Eu;D;230628;000000;92537;94160;92329;93775;107172
Eu;D;230629;000000;93826;95366;93504;95072;171106
Eu;D;230630;000000;95022;96931;94352;96915;337490
Eu;D;230703;000000;96611;96668;94952;95280;146750
Eu;D;230704;000000;95306;96717;94585;95360;242606
Eu;D;230705;000000;95360;96765;95183;96545;249595
Eu;D;230706;000000;96600;99207;96353;97519;230057
Eu;D;230707;000000;97457;98272;96946;98236;113255
Eu;D;230710;000000;98299;98579;96256;96946;145468
Eu;D;230711;000000;97050;97846;96235;96754;104873
Eu;D;230712;000000;96891;99455;96891;99428;140133
Eu;D;230713;000000;99543;99809;98060;98907;115371
Eu;D;230714;000000;98824;100054;98514;99835;116312
Eu;D;230717;000000;100084;101500;99930;101146;97589
Eu;D;230718;000000;101100;101100;100152;100278;98959
Eu;D;230719;000000;100420;101233;100110;100609;98603
Eu;D;230720;000000;100440;100750;99053;99257;154505
Eu;D;230721;000000;99275;100137;98350;99981;112880
