<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZR;D;230103;000000;16485;16695;16485;16581;24959
GAZR;D;230104;000000;16586;16647;16360;16504;27483
GAZR;D;230105;000000;16493;16541;16270;16349;31808
GAZR;D;230106;000000;16324;16498;16311;16454;23983
GAZR;D;230109;000000;16437;16600;16406;16499;39387
GAZR;D;230110;000000;16491;16555;16352;16419;32394
GAZR;D;230111;000000;16421;16939;16386;16819;79342
GAZR;D;230112;000000;16814;16840;16582;16633;50468
GAZR;D;230113;000000;16633;16790;16541;16672;44522
GAZR;D;230116;000000;16695;16898;16665;16802;52150
GAZR;D;230117;000000;16801;16802;16394;16420;64392
GAZR;D;230118;000000;16423;16608;16285;16428;56900
GAZR;D;230119;000000;16448;16478;16174;16249;63152
GAZR;D;230120;000000;16248;16328;16009;16040;59925
GAZR;D;230123;000000;16058;16231;15984;16159;54000
GAZR;D;230124;000000;16155;16277;15889;15911;57652
GAZR;D;230125;000000;15914;16070;15802;16054;68160
GAZR;D;230126;000000;16046;16156;15860;15888;50516
GAZR;D;230127;000000;15885;16100;15820;16067;49883
GAZR;D;230130;000000;16060;16130;15901;15982;48179
GAZR;D;230131;000000;15988;16170;15932;15975;47870
GAZR;D;230201;000000;15974;16020;15900;15969;41365
GAZR;D;230202;000000;15987;16105;15847;15942;53520
GAZR;D;230203;000000;15940;16541;15758;16243;229174
GAZR;D;230206;000000;16236;16320;16021;16126;105949
GAZR;D;230207;000000;16129;16260;16061;16128;50280
GAZR;D;230208;000000;16111;16192;15910;15961;62000
GAZR;D;230209;000000;15970;16177;15865;16047;89743
GAZR;D;230210;000000;16047;16074;15949;15993;43072
GAZR;D;230213;000000;15990;16089;15898;15930;47260
GAZR;D;230214;000000;15939;15940;15619;15770;59763
GAZR;D;230215;000000;15768;15772;15173;15370;76792
GAZR;D;230216;000000;15352;15570;15261;15442;68192
GAZR;D;230217;000000;15436;15668;15380;15446;57551
GAZR;D;230220;000000;15444;15527;15238;15408;59303
GAZR;D;230221;000000;15407;15736;15368;15570;70352
GAZR;D;230222;000000;15564;15727;15411;15614;49563
GAZR;D;230224;000000;15602;15779;15431;15490;51448
GAZR;D;230227;000000;15490;15814;15420;15693;78006
GAZR;D;230228;000000;15691;15883;15606;15835;70765
GAZR;D;230301;000000;15841;16557;15780;16550;195250
GAZR;D;230302;000000;16547;16571;15997;16135;193725
GAZR;D;230303;000000;16123;16380;16118;16294;62632
GAZR;D;230306;000000;16296;16489;16296;16380;66408
GAZR;D;230307;000000;16393;16444;16240;16302;47853
GAZR;D;230309;000000;16283;16349;16136;16140;57386
GAZR;D;230310;000000;16139;16168;15900;16033;54527
GAZR;D;230313;000000;16036;16185;15842;15922;76486
GAZR;D;230314;000000;15902;16150;15842;16101;61378
GAZR;D;230315;000000;16446;16600;16132;16327;57158
GAZR;D;230316;000000;16331;16416;16174;16299;54393
GAZR;D;230317;000000;16324;16771;16295;16645;100797
GAZR;D;230320;000000;16673;18020;16608;17924;227391
