<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;230103;000000;9300;9483;9300;9446;1303
MOEX;D;230104;000000;9439;9552;9400;9516;1520
MOEX;D;230105;000000;9554;9632;9491;9594;1740
MOEX;D;230106;000000;9595;9649;9488;9534;1888
MOEX;D;230109;000000;9504;9600;9488;9559;1467
MOEX;D;230110;000000;9555;9555;9452;9511;1439
MOEX;D;230111;000000;9510;9874;9486;9858;2785
MOEX;D;230112;000000;9845;9928;9763;9816;1588
MOEX;D;230113;000000;9825;9928;9772;9891;861
MOEX;D;230116;000000;9895;10505;9895;10478;4929
MOEX;D;230117;000000;10463;10531;10227;10282;4882
MOEX;D;230118;000000;10261;10396;10239;10295;1753
MOEX;D;230119;000000;10289;10316;10007;10040;3129
MOEX;D;230120;000000;10047;10170;10000;10160;1815
MOEX;D;230123;000000;10199;10261;10101;10222;1357
MOEX;D;230124;000000;10225;10465;10204;10272;2717
MOEX;D;230125;000000;10226;10380;10213;10374;1211
MOEX;D;230126;000000;10370;10529;10319;10454;2578
MOEX;D;230127;000000;10444;10533;10404;10474;1372
MOEX;D;230130;000000;10496;10545;10409;10491;860
MOEX;D;230131;000000;10478;10960;10457;10818;4715
MOEX;D;230201;000000;10804;10933;10647;10845;1729
MOEX;D;230202;000000;10844;10975;10788;10824;2692
MOEX;D;230203;000000;10830;10927;10681;10830;4117
MOEX;D;230206;000000;10831;11066;10736;11064;3826
MOEX;D;230207;000000;11056;11133;10900;10948;3928
MOEX;D;230208;000000;10985;11060;10839;10880;2530
MOEX;D;230209;000000;10888;10925;10736;10860;1411
MOEX;D;230210;000000;10859;10893;10791;10891;534
MOEX;D;230213;000000;10872;10955;10841;10880;596
MOEX;D;230214;000000;10862;10908;10700;10710;1662
MOEX;D;230215;000000;10700;10705;10183;10355;5782
MOEX;D;230216;000000;10399;10589;10332;10468;3313
MOEX;D;230217;000000;10395;10772;10346;10748;3579
MOEX;D;230220;000000;10800;10800;10500;10681;4486
MOEX;D;230221;000000;10637;11087;10584;10973;5622
MOEX;D;230222;000000;10997;11002;10757;10867;2703
MOEX;D;230224;000000;10899;11123;10799;11064;2301
MOEX;D;230227;000000;11030;11634;10982;11590;5838
MOEX;D;230228;000000;11589;11663;11450;11561;3510
MOEX;D;230301;000000;11591;11763;11508;11725;4211
MOEX;D;230302;000000;11715;11796;11504;11550;6751
MOEX;D;230303;000000;11556;11815;11554;11787;3803
MOEX;D;230306;000000;11815;12390;11815;12390;10023
MOEX;D;230307;000000;12395;12482;12252;12325;8640
MOEX;D;230309;000000;12351;12459;12173;12316;6959
MOEX;D;230310;000000;12299;12379;11655;11687;22941
MOEX;D;230313;000000;11702;11744;11244;11395;11222
MOEX;D;230314;000000;11390;11468;11264;11359;3852
MOEX;D;230315;000000;11275;11339;11020;11090;2864
MOEX;D;230316;000000;11074;11139;10877;11127;4739
MOEX;D;230317;000000;11126;11359;11074;11211;8514
MOEX;D;230320;000000;11219;11351;11100;11264;5759
MOEX;D;230321;000000;11301;11321;11125;11130;4593
MOEX;D;230322;000000;11114;11240;11110;11168;2123
MOEX;D;230323;000000;11169;11219;11081;11082;2711
MOEX;D;230324;000000;11104;11190;10985;11061;4032
MOEX;D;230327;000000;11073;11182;11040;11072;2472
MOEX;D;230328;000000;11089;11135;10973;11002;2381
MOEX;D;230329;000000;11019;11080;10945;11021;2421
MOEX;D;230330;000000;11053;11056;10980;10995;1060
MOEX;D;230331;000000;11024;11095;10885;11035;5304
MOEX;D;230403;000000;11084;11200;11049;11148;3702
MOEX;D;230404;000000;11116;11249;10992;11023;5157
MOEX;D;230405;000000;11018;11044;10921;11007;1595
MOEX;D;230406;000000;10996;11104;10933;10950;2615
MOEX;D;230407;000000;10933;10978;10844;10976;2338
MOEX;D;230410;000000;10978;11055;10944;10980;2286
MOEX;D;230411;000000;10979;10995;10850;10850;3164
MOEX;D;230412;000000;10850;10919;10750;10832;3284
MOEX;D;230413;000000;10832;10835;10758;10819;1704
MOEX;D;230414;000000;10830;10960;10711;10917;5529
MOEX;D;230417;000000;10932;11017;10927;10958;2559
MOEX;D;230418;000000;10974;10989;10856;10933;2519
MOEX;D;230419;000000;10931;10966;10725;10804;3247
MOEX;D;230420;000000;10847;10983;10693;10788;3946
MOEX;D;230421;000000;10806;10846;10761;10817;1881
MOEX;D;230424;000000;10811;10885;10771;10779;1606
MOEX;D;230425;000000;10779;10788;10743;10773;1023
MOEX;D;230426;000000;10781;10869;10772;10821;1574
MOEX;D;230427;000000;10813;10816;10736;10770;1680
MOEX;D;230428;000000;10772;11000;10740;10931;6547
MOEX;D;230502;000000;10950;10989;10600;10700;3724
MOEX;D;230503;000000;10710;10759;10421;10466;7638
MOEX;D;230504;000000;10465;10739;10417;10739;3340
MOEX;D;230505;000000;10725;10950;10704;10756;3806
MOEX;D;230508;000000;10784;10849;10574;10595;2822
MOEX;D;230510;000000;10666;10921;10581;10891;3663
MOEX;D;230511;000000;10881;10963;10550;10753;4334
MOEX;D;230512;000000;10769;10824;10575;10633;2624
MOEX;D;230515;000000;10632;10905;10631;10848;1896
MOEX;D;230516;000000;10871;11095;10870;10980;4350
MOEX;D;230517;000000;10973;11114;10957;11055;2448
MOEX;D;230518;000000;11050;11079;10913;10994;1955
MOEX;D;230519;000000;10989;11103;10891;11096;3369
MOEX;D;230522;000000;11096;11330;11096;11224;4468
MOEX;D;230523;000000;11233;11233;11000;11160;4328
MOEX;D;230524;000000;11189;11189;11026;11130;2056
MOEX;D;230525;000000;11148;11245;11062;11116;2567
MOEX;D;230526;000000;11157;11273;11111;11212;1051
MOEX;D;230529;000000;11219;11377;11219;11322;2997
MOEX;D;230530;000000;11252;11265;10283;11083;5445
MOEX;D;230531;000000;11073;11337;10930;11221;3153
MOEX;D;230601;000000;11220;11424;11143;11181;2931
MOEX;D;230602;000000;11152;11834;11148;11682;9549
MOEX;D;230605;000000;11682;11962;11412;11591;5698
MOEX;D;230606;000000;11529;11769;11404;11734;3864
MOEX;D;230607;000000;11770;11995;11662;11824;3877
MOEX;D;230608;000000;11801;11940;11724;11880;2627
MOEX;D;230609;000000;11900;12262;11857;12186;6321
MOEX;D;230613;000000;12124;12372;12008;12241;3456
MOEX;D;230614;000000;12392;12543;12387;12540;2087
MOEX;D;230615;000000;12540;12616;12405;12541;3416
MOEX;D;230616;000000;12565;12565;12450;12486;1478
MOEX;D;230619;000000;12485;12587;12306;12503;5722
MOEX;D;230620;000000;12464;12578;12400;12482;2875
MOEX;D;230621;000000;12477;12635;12431;12532;2121
MOEX;D;230622;000000;12534;12604;12392;12459;1893
MOEX;D;230623;000000;12425;12438;11965;12163;7994
MOEX;D;230626;000000;12241;13265;12000;12218;13446
MOEX;D;230627;000000;12220;12460;12131;12400;2188
MOEX;D;230628;000000;12414;12489;12277;12476;2461
MOEX;D;230629;000000;12479;12600;12447;12539;2712
MOEX;D;230630;000000;12540;12569;12291;12437;5154
MOEX;D;230703;000000;12438;12502;12299;12315;3299
MOEX;D;230704;000000;12331;12378;12164;12196;2964
MOEX;D;230705;000000;12250;12391;12222;12357;1741
MOEX;D;230706;000000;12375;12520;12324;12440;2708
MOEX;D;230707;000000;12433;12480;12339;12364;1184
MOEX;D;230710;000000;12364;12541;12345;12516;2534
