<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;230103;000000;14380;14583;14350;14406;119998
SBRF;D;230104;000000;14392;14450;14277;14367;94944
SBRF;D;230105;000000;14358;14408;14256;14355;102185
SBRF;D;230106;000000;14354;14387;14282;14354;70889
SBRF;D;230109;000000;14360;14528;14350;14445;190346
SBRF;D;230110;000000;14449;14496;14313;14495;166462
SBRF;D;230111;000000;14496;15225;14496;15219;443942
SBRF;D;230112;000000;15214;15288;15038;15140;231518
SBRF;D;230113;000000;15134;15538;14966;15382;355309
SBRF;D;230116;000000;15403;15595;15362;15569;240941
SBRF;D;230117;000000;15569;15642;15184;15219;293661
SBRF;D;230118;000000;15219;15499;15126;15350;275303
SBRF;D;230119;000000;15343;15437;15038;15098;301634
SBRF;D;230120;000000;15116;15328;15022;15322;206618
SBRF;D;230123;000000;15312;15606;15275;15541;244616
SBRF;D;230124;000000;15535;15737;15400;15431;350784
SBRF;D;230125;000000;15428;15530;15310;15450;206942
SBRF;D;230126;000000;15449;15599;15327;15390;233797
SBRF;D;230127;000000;15399;15511;15310;15477;164860
SBRF;D;230130;000000;15470;15544;15362;15503;176902
SBRF;D;230131;000000;15513;15993;15492;15985;341995
SBRF;D;230201;000000;15976;16121;15802;15983;330808
SBRF;D;230202;000000;15989;16196;15882;16099;256622
SBRF;D;230203;000000;16100;16365;15928;16290;293449
SBRF;D;230206;000000;16284;16876;16253;16861;389964
SBRF;D;230207;000000;16861;16998;16520;16691;445737
SBRF;D;230208;000000;16675;16781;16410;16552;304384
SBRF;D;230209;000000;16566;16883;16256;16660;434044
SBRF;D;230210;000000;16660;16789;16577;16687;204378
SBRF;D;230213;000000;16682;16820;16531;16560;211885
SBRF;D;230214;000000;16548;16579;16260;16282;297997
SBRF;D;230215;000000;16280;16290;15497;15744;422277
SBRF;D;230216;000000;15735;16041;15703;15913;345168
SBRF;D;230217;000000;15908;16131;15760;16069;287887
SBRF;D;230220;000000;16074;16218;15750;16100;337393
SBRF;D;230221;000000;16091;16650;16040;16492;494654
SBRF;D;230222;000000;16491;16527;16315;16419;248659
SBRF;D;230224;000000;16424;16632;16353;16499;224981
SBRF;D;230227;000000;16486;17099;16360;17081;453475
SBRF;D;230228;000000;17081;17270;16905;17050;397671
SBRF;D;230301;000000;17054;17240;17013;17123;274715
SBRF;D;230302;000000;17117;17151;16705;16860;378114
SBRF;D;230303;000000;16864;17180;16839;17180;267451
SBRF;D;230306;000000;17179;17355;17173;17228;325343
SBRF;D;230307;000000;17240;17470;17140;17457;281610
SBRF;D;230309;000000;17458;17555;17256;17277;418906
SBRF;D;230310;000000;17276;17323;17065;17280;274023
SBRF;D;230313;000000;17280;17420;16925;17222;417237
SBRF;D;230314;000000;17185;17679;17119;17597;349296
SBRF;D;230315;000000;17872;18020;17615;17796;248557
SBRF;D;230316;000000;17797;17883;17561;17827;289991
SBRF;D;230317;000000;17830;18554;17360;17760;1196879
SBRF;D;230320;000000;17773;18756;17710;18700;497959
SBRF;D;230321;000000;18682;18978;18375;18609;516832
SBRF;D;230322;000000;18606;18748;18420;18592;296818
SBRF;D;230323;000000;18605;18694;18474;18488;183087
SBRF;D;230324;000000;18486;18674;18450;18656;192544
SBRF;D;230327;000000;18668;19641;18629;19530;435001
SBRF;D;230328;000000;19537;19745;19306;19636;428224
SBRF;D;230329;000000;19650;20177;19563;20016;452153
SBRF;D;230330;000000;20028;20080;19831;19911;265909
SBRF;D;230331;000000;19915;19960;19404;19891;432963
SBRF;D;230403;000000;19891;20153;19661;19815;289300
SBRF;D;230404;000000;19800;19960;19600;19667;259781
SBRF;D;230405;000000;19668;19915;19465;19849;251759
SBRF;D;230406;000000;19856;19993;19681;19685;230807
SBRF;D;230407;000000;19685;19930;19610;19918;186901
SBRF;D;230410;000000;19928;20769;19924;20757;488318
SBRF;D;230411;000000;20757;20868;20160;20220;530064
SBRF;D;230412;000000;20220;20384;20015;20332;302373
SBRF;D;230413;000000;20338;20463;20047;20247;268893
SBRF;D;230414;000000;20231;20603;20053;20510;280267
SBRF;D;230417;000000;20520;21025;20520;21013;329678
SBRF;D;230418;000000;20997;21430;20829;21422;416633
SBRF;D;230419;000000;21410;21742;21242;21380;468620
SBRF;D;230420;000000;21379;21700;21036;21651;416098
SBRF;D;230421;000000;21645;21900;21381;21546;486840
SBRF;D;230424;000000;21548;21628;21406;21450;175678
SBRF;D;230425;000000;21446;21500;21171;21386;250500
SBRF;D;230426;000000;21399;21460;21291;21338;147038
SBRF;D;230427;000000;21335;21967;21310;21937;357782
SBRF;D;230428;000000;21920;21999;21500;21821;330505
SBRF;D;230502;000000;21826;22304;21600;21973;421371
SBRF;D;230503;000000;21974;22067;21155;21250;488588
SBRF;D;230504;000000;21270;21639;21270;21608;329534
SBRF;D;230505;000000;21591;21796;21435;21500;285476
SBRF;D;230508;000000;21500;21764;21437;21538;257824
SBRF;D;230510;000000;21540;22804;21540;22760;674316
SBRF;D;230511;000000;22769;23632;22520;23016;957713
SBRF;D;230512;000000;23019;23275;22714;23037;399883
SBRF;D;230515;000000;23035;23270;22915;23265;276254
SBRF;D;230516;000000;23268;23389;23057;23171;233913
SBRF;D;230517;000000;23188;23221;22967;23168;213343
SBRF;D;230518;000000;23170;23579;23151;23285;388762
SBRF;D;230519;000000;23287;23355;23087;23237;224420
SBRF;D;230522;000000;23235;23419;23100;23234;222253
SBRF;D;230523;000000;23235;23898;23135;23786;399081
SBRF;D;230524;000000;23772;24760;23755;24756;537548
SBRF;D;230525;000000;24760;24862;24418;24523;397446
SBRF;D;230526;000000;24551;25126;24430;24963;416154
SBRF;D;230529;000000;24979;25386;24979;25283;354170
SBRF;D;230530;000000;25282;25283;24520;24625;551137
SBRF;D;230531;000000;24611;24864;24170;24755;489557
SBRF;D;230601;000000;24764;24838;24184;24286;384943
SBRF;D;230602;000000;24294;24704;24212;24525;339124
SBRF;D;230605;000000;24525;24545;23607;23779;514617
SBRF;D;230606;000000;23760;24295;23339;24187;654072
SBRF;D;230607;000000;24198;24520;23943;24194;436075
SBRF;D;230608;000000;24210;24347;24010;24212;263407
SBRF;D;230609;000000;24208;24384;24042;24086;232852
SBRF;D;230613;000000;24086;24488;24084;24468;304106
SBRF;D;230614;000000;25086;25406;24810;25105;194572
SBRF;D;230615;000000;25100;25217;24883;25140;222100
SBRF;D;230616;000000;25140;25208;24914;24945;142251
SBRF;D;230619;000000;24964;25035;24660;24740;202103
SBRF;D;230620;000000;24725;24773;24410;24720;233643
SBRF;D;230621;000000;24735;24946;24567;24750;224024
SBRF;D;230622;000000;24742;24821;24520;24602;198374
SBRF;D;230623;000000;24597;24604;23906;24030;355559
SBRF;D;230626;000000;24053;24498;23806;24312;379162
SBRF;D;230627;000000;24312;24726;24118;24624;278339
SBRF;D;230628;000000;24634;24669;24321;24431;185060
SBRF;D;230629;000000;24443;24602;24326;24470;171505
SBRF;D;230630;000000;24451;24530;24267;24400;153480
SBRF;D;230703;000000;24400;24984;24351;24895;292893
SBRF;D;230704;000000;24881;24881;24497;24527;252528
SBRF;D;230705;000000;24541;24651;24465;24536;143674
SBRF;D;230706;000000;24552;24710;24505;24535;138591
SBRF;D;230707;000000;24559;24843;24515;24840;165903
SBRF;D;230710;000000;24844;25430;24844;25417;338634
SBRF;D;230711;000000;25415;25506;25105;25279;312423
SBRF;D;230712;000000;25282;25418;25050;25219;175961
SBRF;D;230713;000000;25229;25283;24960;25092;165266
SBRF;D;230714;000000;25093;25160;24866;25080;152598
SBRF;D;230717;000000;25056;25068;24103;24962;190003
SBRF;D;230718;000000;24990;25197;24909;25099;181679
SBRF;D;230719;000000;25106;25240;24879;25020;181280
SBRF;D;230720;000000;25024;25050;24613;24641;199092
SBRF;D;230721;000000;24666;24855;24548;24775;156915
SBRF;D;230724;000000;24760;24991;24737;24879;139057
SBRF;D;230725;000000;24891;25174;24839;25102;232891
SBRF;D;230726;000000;25102;25199;24939;25092;144643
SBRF;D;230727;000000;25107;25340;25101;25169;187914
SBRF;D;230728;000000;25169;25348;25024;25292;193752
SBRF;D;230731;000000;25324;27149;25324;27123;631962
SBRF;D;230801;000000;27130;27688;26775;27180;689568
SBRF;D;230802;000000;27170;27390;26964;27198;307956
SBRF;D;230803;000000;27202;27476;26988;27291;354445
SBRF;D;230804;000000;27293;27647;26437;26701;572897
SBRF;D;230807;000000;26715;27112;26344;26455;305693
SBRF;D;230808;000000;26470;26837;26155;26769;323206
SBRF;D;230809;000000;26801;26889;26571;26653;219503
SBRF;D;230810;000000;26680;27078;26661;27042;208749
SBRF;D;230811;000000;27070;27085;26730;26910;148761
SBRF;D;230814;000000;26937;27185;26168;26298;389061
SBRF;D;230815;000000;26278;26750;25936;26386;295561
SBRF;D;230816;000000;26404;26499;25725;25901;376100
SBRF;D;230817;000000;25911;26178;25832;26147;212528
SBRF;D;230818;000000;26150;26430;26010;26420;190437
SBRF;D;230821;000000;26447;26599;26227;26394;187958
SBRF;D;230822;000000;26400;26519;26258;26418;125727
SBRF;D;230823;000000;26420;26499;25845;25918;263242
SBRF;D;230824;000000;25950;26256;25876;26235;172297
SBRF;D;230825;000000;26236;26436;26005;26288;179631
SBRF;D;230828;000000;26365;27036;26319;26951;323351
SBRF;D;230829;000000;26962;27050;26770;26850;209756
SBRF;D;230830;000000;26865;27040;26552;26737;206234
SBRF;D;230831;000000;26745;26887;26650;26739;156598
SBRF;D;230901;000000;26748;26832;26614;26738;106039
SBRF;D;230904;000000;26748;27139;26747;26951;245262
SBRF;D;230905;000000;26954;27002;26302;26671;234836
SBRF;D;230906;000000;26678;26697;26360;26510;187549
