<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;230103;000000;70105;72280;69873;72236;920700
Si;D;230104;000000;72227;72600;71310;72530;846368
Si;D;230105;000000;72510;72844;71675;72563;708928
Si;D;230106;000000;72530;72707;71560;72108;848286
Si;D;230109;000000;72100;72100;70001;70350;1354959
Si;D;230110;000000;70356;70608;69731;70223;943179
Si;D;230111;000000;70240;70552;68822;69149;1205827
Si;D;230112;000000;69140;69140;68050;68190;872953
Si;D;230113;000000;68200;69699;67753;69590;1496177
Si;D;230116;000000;69615;69664;68524;68989;995526
Si;D;230117;000000;69000;70130;68914;69831;835868
Si;D;230118;000000;69833;69975;69070;69354;1058188
Si;D;230119;000000;69327;69620;69225;69300;694026
Si;D;230120;000000;69305;69589;69020;69461;784394
Si;D;230123;000000;69498;69945;68921;69799;967899
Si;D;230124;000000;69790;69791;69364;69570;658238
Si;D;230125;000000;69570;69987;69421;69857;767748
Si;D;230126;000000;69857;70266;69276;69670;1189573
Si;D;230127;000000;69675;70175;69649;70050;821428
Si;D;230130;000000;70069;71320;69911;71304;898051
Si;D;230131;000000;71314;71525;70555;70597;1274234
Si;D;230201;000000;70599;71103;70505;70610;781263
Si;D;230202;000000;70620;71293;70383;70973;849914
Si;D;230203;000000;70974;71563;70907;71312;916534
Si;D;230206;000000;71340;71834;71001;71796;638451
Si;D;230207;000000;71785;71909;71338;71450;723791
Si;D;230208;000000;71466;72778;71466;72750;1147927
Si;D;230209;000000;72770;73485;72703;72950;1311020
Si;D;230210;000000;72925;73340;72327;72799;1294437
Si;D;230213;000000;72821;73400;72776;73094;1027257
Si;D;230214;000000;73119;73467;72077;72850;1276179
Si;D;230215;000000;72891;73716;72824;73510;1221564
Si;D;230216;000000;73510;74674;73433;74200;1471773
Si;D;230217;000000;74200;74567;73050;73118;2143419
Si;D;230220;000000;73075;74328;72560;74221;1274366
Si;D;230221;000000;74212;74459;73400;74181;1147529
Si;D;230222;000000;74181;74777;73686;74636;921377
Si;D;230224;000000;74648;75784;73973;75576;1068293
Si;D;230227;000000;75525;75525;73511;73626;1396546
Si;D;230228;000000;73610;74364;73161;74226;1337125
